hour,pv,wind
1213,0.0,0.141
1214,0.0,0.167
1215,0.001,0.179
1216,0.072,0.153
1217,0.148,0.212
1218,0.251,0.366
1219,0.514,0.483
1220,0.831,0.566
1221,0.813,0.614
1222,0.612,0.601
1223,0.492,0.535
1224,0.312,0.432
1225,0.105,0.233
1226,0.0,0.059
1227,0.0,0.016
1228,0.0,0.006
1229,0.0,0.005
1230,0.0,0.007
1231,0.0,0.013
1232,0.0,0.031
1233,0.0,0.065
1234,0.0,0.118
1235,0.0,0.156
1236,0.0,0.188
1237,0.0,0.235
1238,0.0,0.233
1239,0.0,0.22
1240,0.044,0.201
1241,0.242,0.203
1242,0.375,0.168
1243,0.442,0.13
1244,0.469,0.112
1245,0.485,0.108
1246,0.417,0.12
1247,0.287,0.136
1248,0.177,0.137
1249,0.064,0.089
1250,0.0,0.105
1251,0.0,0.178
1252,0.0,0.22
1253,0.0,0.258
1254,0.0,0.283
1255,0.0,0.295
1256,0.0,0.283
1257,0.0,0.251
1258,0.0,0.219
1259,0.0,0.195
1260,0.0,0.195
1261,0.0,0.198
1262,0.0,0.193
1263,0.008,0.174
1264,0.239,0.1
1265,0.547,0.137
1266,0.723,0.109
1267,0.827,0.059
1268,0.872,0.044
1269,0.861,0.056
1270,0.794,0.101
1271,0.668,0.167
1272,0.476,0.22
1273,0.218,0.236
1274,0.002,0.251
1275,0.0,0.245
1276,0.0,0.192
1277,0.0,0.138
1278,0.0,0.101
1279,0.0,0.07
1280,0.0,0.048
1281,0.0,0.034
1282,0.0,0.034
1283,0.0,0.035
1284,0.0,0.02
1285,0.0,0.008
1286,0.0,0.003
1287,0.021,0.001
1288,0.306,0.001
1289,0.544,0.0
1290,0.651,0.003
1291,0.712,0.002
1292,0.662,0.0
1293,0.617,0.0
1294,0.71,0.004
1295,0.648,0.017
1296,0.461,0.034
1297,0.205,0.05
1298,0.001,0.069
1299,0.0,0.065
1300,0.0,0.045
1301,0.0,0.026
1302,0.0,0.013
1303,0.0,0.006
1304,0.0,0.003
1305,0.0,0.003
1306,0.0,0.004
1307,0.0,0.008
1308,0.0,0.014
1309,0.0,0.026
1310,0.0,0.041
1311,0.02,0.058
1312,0.287,0.041
1313,0.519,0.016
1314,0.684,0.014
1315,0.784,0.006
1316,0.827,0.005
1317,0.815,0.008
1318,0.751,0.025
1319,0.631,0.058
1320,0.444,0.107
1321,0.142,0.089
1322,0.0,0.08
1323,0.0,0.063
1324,0.0,0.042
1325,0.0,0.035
1326,0.0,0.032
1327,0.0,0.025
1328,0.0,0.022
1329,0.0,0.019
1330,0.0,0.023
1331,0.0,0.032
1332,0.0,0.035
1333,0.0,0.035
1334,0.0,0.03
1335,0.01,0.013
1336,0.189,0.004
1337,0.44,0.001
1338,0.65,0.008
1339,0.764,0.029
1340,0.806,0.071
1341,0.752,0.131
1342,0.703,0.19
1343,0.593,0.214
1344,0.334,0.189
1345,0.093,0.125
1346,0.001,0.084
1347,0.0,0.045
1348,0.0,0.027
1349,0.0,0.028
1350,0.0,0.033
1351,0.0,0.029
1352,0.0,0.02
1353,0.0,0.027
1354,0.0,0.028
1355,0.0,0.024
1356,0.0,0.02
1357,0.0,0.012
1358,0.0,0.005
1359,0.022,0.006
