id,caiso_qpos,name,fuel_tag,class,nameplate,rho,rho_hat,cost_ann,is_intermittent,county
50,1223,DAYLIGHT,Solar+Battery,hybrid_solar,300.0,0.6,0.4,160000.0,true,KINGS
51,1242,PLUOT,Solar+Battery,hybrid_solar,246.4,0.6,0.4,160000.0,true,KINGS
52,1243,POMEGRANATE,Solar+Battery,hybrid_solar,249.7,0.6,0.4,160000.0,true,KINGS
53,1260,KYAN SOLAR,Solar,solar,100.0,0.13,0.13,115000.0,true,KERN
54,1270,CORBY,Battery,storage,300.0,0.95,0.55,135000.0,true,SOLANO
55,1277,MULQUEENEY RANCH WIND,Wind Turbine,wind,20.0,0.3,0.25,150000.0,true,ALAMEDA
56,1314,DAGGETT SOLAR 3,Solar+Battery,hybrid_solar,300.0,0.6,0.4,160000.0,true,SAN BERNARDINO
57,1322,SOLAR STAR 3,Battery+Solar,hybrid_solar,24.0,0.6,0.4,160000.0,true,KERN
58,1323,SOLAR STAR 4,Battery+Solar,hybrid_solar,24.0,0.6,0.4,160000.0,true,KERN
59,1335,PASTORIA SOLAR,Solar+Battery,hybrid_solar,105.2,0.6,0.4,160000.0,true,KERN
60,1339,TAHOE,Battery,storage,300.0,0.95,0.55,135000.0,true,CLARK
61,1347,ROCCASECCA BESS,Battery,storage,126.5934,0.95,0.55,135000.0,true,CLARK
62,1349,ARAMIS POWER PLANT,Solar+Battery,hybrid_solar,100.0,0.6,0.4,160000.0,true,ALAMEDA
63,1363,SAND HILL C,Wind Turbine,wind,80.8,0.3,0.25,150000.0,true,ALAMEDA
64,1378,GONZAGA WIND FARM,Wind Turbine,wind,76.35,0.3,0.25,150000.0,true,MERCED
65,1379,HEARTLAND 1,Solar+Battery,hybrid_solar,150.0,0.6,0.4,160000.0,true,FRESNO
66,1380,HEARTLAND 2,Solar+Battery,hybrid_solar,150.0,0.6,0.4,160000.0,true,FRESNO
67,1382,LAS CAMAS 1,Solar+Battery,hybrid_solar,100.0,0.6,0.4,160000.0,true,MERCED
68,1389,REDUX SOLAR,Solar+Battery,hybrid_solar,125.0,0.6,0.4,160000.0,true,FRESNO
69,1391,SONRISA,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,FRESNO
70,1394,DRIFTWOOD STELLA,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,KERN
71,1402,ATLAS COMPLEX,Battery+Solar,hybrid_solar,3200.0,0.6,0.4,160000.0,true,LA PAZ
72,1405,ATHOS POWER PLANT,Solar+Battery,hybrid_solar,450.0,0.6,0.4,160000.0,true,RIVERSIDE
73,1413,BALDY MESA,Battery+Solar,hybrid_solar,100.0,0.6,0.4,160000.0,true,SAN BERNARDINO
74,1419,CAMINO SOLAR,Solar+Battery,hybrid_solar,54.28,0.6,0.4,160000.0,true,KERN
75,1429,MOUNT LAGUNA WIND 2,Wind Turbine,wind,400.0,0.3,0.25,150000.0,true,SAN DIEGO
76,1432,STARLIGHT SOLAR,Solar+Battery,hybrid_solar,20.0,0.6,0.4,160000.0,true,SAN DIEGO
77,1435,IRONWOOD SOLAR,Solar+Battery,hybrid_solar,250.0,0.6,0.4,160000.0,true,YUMA
78,1442,AJO POWER BANK,Battery,storage,120.0,0.95,0.55,135000.0,true,SANTA CLARA
79,1444,SALOON ENERGY STORAGE,Battery,storage,150.0,0.95,0.55,135000.0,true,COLUSA
80,1454,HUMMINGBIRD ENERGY STORAGE,Battery,storage,75.0,0.95,0.55,135000.0,true,SANTA CLARA
81,1455,JANUS,Battery+Solar,hybrid_solar,80.0,0.6,0.4,160000.0,true,COLUSA
82,1456,LAS CAMAS 3,Solar+Battery,hybrid_solar,100.0,0.6,0.4,160000.0,true,MERCED
83,1457,MILPA POWER BANK,Battery,storage,3.0,0.95,0.55,135000.0,true,SANTA CLARA
84,1459,MULQUEENEY RANCH WIND 2,Wind Turbine,wind,60.0,0.3,0.25,150000.0,true,ALAMEDA
85,1461,RECLAIMED WIND,Battery,storage,90.7,0.95,0.55,135000.0,true,ALAMEDA
86,1463,SOLANO 4 WIND,Wind Turbine,wind,90.8,0.3,0.25,150000.0,true,SOLANO
87,1479,KEY STORAGE 1,Battery,storage,300.1,0.95,0.55,135000.0,true,FRESNO
88,1493,AZALEA,Solar+Battery,hybrid_solar,60.0,0.6,0.4,160000.0,true,KERN
89,1495,CHALAN SOLAR,Battery+Solar,hybrid_solar,64.9,0.6,0.4,160000.0,true,KERN
90,1499,JASMINE,Solar+Battery,hybrid_solar,70.0,0.6,0.4,160000.0,true,KERN
91,1507,PROSPECT ENERGY STORAGE,Battery,storage,49.9,0.95,0.55,135000.0,true,SACRAMENTO
92,1510,BELLEFIELD SOLAR FARM,Solar+Battery,hybrid_solar,500.0,0.6,0.4,160000.0,true,KERN
93,1518,SANBORN SOLAR 2,Solar+Battery,hybrid_solar,500.0,0.6,0.4,160000.0,true,KERN
94,1519,BALDY MESA 2,Solar+Battery,hybrid_solar,100.0,0.6,0.4,160000.0,true,SAN BERNARDINO
95,1522,ARIDA SOLAR FARM,Battery+Solar,hybrid_solar,370.0,0.6,0.4,160000.0,true,CLARK
96,1529,CENTENNIAL FLATS,Solar+Battery,hybrid_solar,500.0,0.6,0.4,160000.0,true,LA PAZ
97,1532,KETTLE SOLAR ONE,Solar+Battery,hybrid_solar,90.0,0.6,0.4,160000.0,true,SAN DIEGO
98,1534,VULCAN,Battery+Solar,hybrid_solar,250.0,0.6,0.4,160000.0,true,MARICOPA
99,1539,IRVING STORAGE,Battery,storage,750.0,0.95,0.55,135000.0,true,MONTEREY
100,1550,TANAGER STORAGE,Battery,storage,200.0,0.95,0.55,135000.0,true,SANTA CLARA
101,1552,CORMORANT STORAGE,Battery,storage,250.0,0.95,0.55,135000.0,true,SAN FRANCISCO
102,1553,JEWELFLOWER STORAGE,Battery,storage,350.0,0.95,0.55,135000.0,true,SANTA CLARA
103,1557,NOOSA ENERGY STORAGE,Battery,storage,99.0,0.95,0.55,135000.0,true,SAN JOAQUIN
104,1565,DYNAMO SOLAR,Solar,solar,24.5,0.13,0.13,115000.0,true,NAPA
105,1568,AIR STATION 1,Solar+Battery,hybrid_solar,40.0,0.6,0.4,160000.0,true,KINGS
106,1587,KINGSROAD HYBRID SOLAR,Battery+Solar,hybrid_solar,100.0,0.6,0.4,160000.0,true,KERN
107,1593,PELICANS JAW HYBRID SOLAR,Battery+Solar,hybrid_solar,500.0,0.6,0.4,160000.0,true,KINGS
108,1596,BUTTONBUSH SOLAR HYBRID ENERGY CENTER,Battery+Solar,hybrid_solar,800.0,0.6,0.4,160000.0,true,KERN
109,1604,ARATINA SOLAR CENTER 2,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,KERN
110,1608,AVOCET STORAGE,Battery,storage,200.0,0.95,0.55,135000.0,true,LOS ANGELES
111,1611,COMMERCE ENERGY STORAGE,Battery,storage,250.0,0.95,0.55,135000.0,true,LOS ANGELES
112,1615,KESTREL STORAGE,Battery,storage,200.0,0.95,0.55,135000.0,true,LOS ANGELES
113,1619,GOLDBACK SOLAR CENTER,Battery,storage,500.0,0.95,0.55,135000.0,true,VENTURA
114,1625,ANGELENO SOLAR FARM,Battery+Solar,hybrid_solar,1150.0,0.6,0.4,160000.0,true,LOS ANGELES
115,1629,HUMIDOR STORAGE 1,Battery,storage,300.0,0.95,0.55,135000.0,true,LOS ANGELES
116,1631,BELLEFIELD 2 SOLAR FARM,Battery+Solar,hybrid_solar,500.0,0.6,0.4,160000.0,true,KERN
117,1632,SANBORN HYBRID 3,Battery+Solar,hybrid_solar,1400.0,0.6,0.4,160000.0,true,KERN
