scenario,profit
s0194,192085.93754455773
s0195,169014.83549005826
s0196,171856.67332039116
s0197,188040.97276530013
s0198,176686.46374505194
s0199,174354.72848544014
s0200,180060.85611665243
s0201,201850.8616563897
s0202,168325.21711564777
s0203,154312.05622233747
s0204,177356.95351248293
s0205,171369.5262083988
s0206,197885.3885100038
s0207,179863.92620323895
s0208,204741.01560335324
s0209,193264.9960105174
s0210,151006.6331610395
s0211,194697.97063677004
s0212,180188.074153333
s0213,167385.25197061934
s0214,182981.90071546743
s0215,184721.3637962478
s0216,178298.25662366193
s0217,159824.1407915684
s0218,173981.91942083876
s0219,180861.30844479942
s0220,172239.15037504185
s0221,152884.97855757028
s0222,181016.15044185432
s0223,180560.41719926108
s0224,196818.8613502412
s0225,174612.139312066
s0226,204909.49282937893
s0227,174767.93895013287
s0228,183252.72381228395
s0229,210128.21068715866
s0230,169458.22955311433
s0231,156806.90206319006
s0232,158013.10293926863
s0233,150756.28585998475
s0234,143256.24639312038
s0235,207126.6266934575
s0236,175607.0319195646
s0237,152181.50920941983
s0238,206142.20707286484
s0239,157372.77933746422
s0240,171734.68884689166
s0241,145914.7660995669
s0242,155429.7223370335
s0243,168537.4745464878
s0244,163408.06633184303
s0245,175758.8311404275
s0246,159254.40613558516
s0247,187596.86412095846
s0248,184586.46101091025
s0249,193375.6632195425
s0250,207066.68087000176
s0251,171662.27521271113
s0252,164289.10294529542
s0253,187488.98935472008
s0254,177063.77228730937
s0255,185058.33422977893
s0256,168071.66762726687
s0257,169407.08815456872
s0258,172568.73289917616
s0259,159602.1927771182
s0260,187917.7279911061
s0261,191072.97326946192
s0262,159421.83928884869
s0263,171428.07913659938
s0264,157018.6731517921
s0265,123927.19755992343
s0266,156156.9506908614
s0267,169058.59841054043
s0268,161644.6275804617
s0269,195857.9600657165
s0270,154175.67232098617
s0271,179081.23805167945
s0272,169736.59453274548
s0273,159808.85692425634
s0274,203881.24733706575
s0275,168596.7602443005
s0276,168273.56222355986
s0277,179855.7506362623
s0278,172475.7621307126
s0279,171082.38784627616
s0280,154072.9659534558
s0281,165032.71252288183
s0282,163596.53353263726
s0283,175692.90373618595
s0284,168328.5102421306
s0285,195273.6734206136
s0286,142920.3347429289
s0287,188410.9841375771
s0288,169068.07308781118
s0289,174513.97160667952
s0290,166978.54507203616
s0291,179907.98815787863
s0292,175939.02466278378
s0293,172309.79825642746
s0294,156613.17109743765
s0295,166531.93815345052
s0296,156535.96883231105
s0297,182740.86890488258
s0298,167720.1864293327
s0299,173640.48707373027
s0300,138074.2936642202
s0301,154150.7459431631
s0302,151304.2045606438
s0303,169580.7214669168
s0304,149937.37934390968
s0305,170851.29941207613
s0306,172244.74912937035
s0307,178148.17113275183
s0308,184820.54721183327
s0309,170885.0402931752
s0310,144288.14747718078
s0311,171159.24845033855
s0312,163524.64486719493
s0313,175681.005072412
s0314,177069.2302098592
s0315,177703.50371307935
s0316,176598.21934349512
s0317,157799.38087382854
s0318,170830.06343578213
s0319,168132.32807704672
s0320,181096.95635093353
s0321,145891.0545726817
s0322,163687.41268525997
s0323,174953.71546794803
s0324,180267.48841841784
s0325,154810.45452695063
s0326,165940.41669346858
s0327,173652.57011133686
s0328,176062.48486855757
s0329,165147.41981235062
s0330,178928.65735534974
s0331,187944.84586071243
s0332,172135.25663995647
s0333,182472.34885922502
s0334,180148.94827320086
s0335,211988.9796337485
s0336,171064.49511309282
s0337,168576.61551974225
