datetime_utc,lmp_usd_mwh
2015-06-15 18:00:00+00:00,39.86
2015-06-15 19:00:00+00:00,33.6075
2015-06-15 20:00:00+00:00,37.6375
2015-06-15 21:00:00+00:00,38.067499999999995
2015-06-15 22:00:00+00:00,31.1325
2015-06-15 23:00:00+00:00,26.7875
2015-06-16 00:00:00+00:00,26.697499999999998
2015-06-16 01:00:00+00:00,26.805
2015-06-16 02:00:00+00:00,25.1725
2015-06-16 03:00:00+00:00,23.86
2015-06-16 04:00:00+00:00,22.08
2015-06-16 05:00:00+00:00,21.215
2015-06-16 06:00:00+00:00,20.060000000000002
2015-06-16 07:00:00+00:00,19.8275
2015-06-16 08:00:00+00:00,19.2575
2015-06-16 09:00:00+00:00,19.235
2015-06-16 10:00:00+00:00,20.0525
2015-06-16 11:00:00+00:00,20.2
2015-06-16 12:00:00+00:00,20.58
2015-06-16 13:00:00+00:00,21.634999999999998
2015-06-16 14:00:00+00:00,21.9125
2015-06-16 15:00:00+00:00,22.7275
2015-06-16 16:00:00+00:00,23.9825
2015-06-16 17:00:00+00:00,24.685
2015-06-16 18:00:00+00:00,24.77
2015-06-16 19:00:00+00:00,24.5775
2015-06-16 20:00:00+00:00,24.54
2015-06-16 21:00:00+00:00,23.765
2015-06-16 22:00:00+00:00,24.7125
2015-06-16 23:00:00+00:00,22.83
2015-06-17 00:00:00+00:00,22.3675
2015-06-17 01:00:00+00:00,22.515
2015-06-17 02:00:00+00:00,21.7825
2015-06-17 03:00:00+00:00,22.127499999999998
2015-06-17 04:00:00+00:00,22.8875
2015-06-17 05:00:00+00:00,20.935000000000002
2015-06-17 06:00:00+00:00,20.0125
2015-06-17 07:00:00+00:00,19.71
2015-06-17 08:00:00+00:00,19.49
2015-06-17 09:00:00+00:00,19.759999999999998
2015-06-17 10:00:00+00:00,20.740000000000002
2015-06-17 11:00:00+00:00,20.9775
2015-06-17 12:00:00+00:00,21.2775
2015-06-17 13:00:00+00:00,21.8125
2015-06-17 14:00:00+00:00,21.8125
2015-06-17 15:00:00+00:00,22.155
2015-06-17 16:00:00+00:00,23.3825
2015-06-17 17:00:00+00:00,23.81
2015-06-17 18:00:00+00:00,25.54
2015-06-17 19:00:00+00:00,25.8425
2015-06-17 20:00:00+00:00,25.8825
2015-06-17 21:00:00+00:00,26.0
2015-06-17 22:00:00+00:00,26.155
2015-06-17 23:00:00+00:00,24.98
2015-06-18 00:00:00+00:00,23.15
2015-06-18 01:00:00+00:00,23.87
2015-06-18 02:00:00+00:00,23.7025
2015-06-18 03:00:00+00:00,24.1625
2015-06-18 04:00:00+00:00,22.732499999999998
2015-06-18 05:00:00+00:00,19.865000000000002
2015-06-18 06:00:00+00:00,18.932499999999997
2015-06-18 07:00:00+00:00,18.627499999999998
2015-06-18 08:00:00+00:00,18.32
2015-06-18 09:00:00+00:00,18.4475
2015-06-18 10:00:00+00:00,19.81
2015-06-18 11:00:00+00:00,20.325000000000003
2015-06-18 12:00:00+00:00,21.335
2015-06-18 13:00:00+00:00,22.634999999999998
2015-06-18 14:00:00+00:00,23.9725
2015-06-18 15:00:00+00:00,26.9525
2015-06-18 16:00:00+00:00,26.78
2015-06-18 17:00:00+00:00,47.5525
2015-06-18 18:00:00+00:00,33.245
2015-06-18 19:00:00+00:00,32.825
2015-06-18 20:00:00+00:00,40.325
2015-06-18 21:00:00+00:00,43.815
2015-06-18 22:00:00+00:00,30.8725
2015-06-18 23:00:00+00:00,29.517500000000002
2015-06-19 00:00:00+00:00,28.3875
2015-06-19 01:00:00+00:00,27.9
2015-06-19 02:00:00+00:00,25.3975
2015-06-19 03:00:00+00:00,23.64
2015-06-19 04:00:00+00:00,22.875
2015-06-19 05:00:00+00:00,20.28
2015-06-19 06:00:00+00:00,18.8425
2015-06-19 07:00:00+00:00,18.4375
2015-06-19 08:00:00+00:00,18.4425
2015-06-19 09:00:00+00:00,19.0175
2015-06-19 10:00:00+00:00,19.865000000000002
2015-06-19 11:00:00+00:00,20.0175
2015-06-19 12:00:00+00:00,20.3625
2015-06-19 13:00:00+00:00,21.895000000000003
2015-06-19 14:00:00+00:00,24.1
2015-06-19 15:00:00+00:00,26.86
2015-06-19 16:00:00+00:00,28.4575
2015-06-19 17:00:00+00:00,29.2975
2015-06-19 18:00:00+00:00,29.695
2015-06-19 19:00:00+00:00,30.7175
2015-06-19 20:00:00+00:00,31.595
2015-06-19 21:00:00+00:00,31.0575
2015-06-19 22:00:00+00:00,27.525
2015-06-19 23:00:00+00:00,24.252499999999998
2015-06-20 00:00:00+00:00,23.517500000000002
2015-06-20 01:00:00+00:00,23.755
2015-06-20 02:00:00+00:00,22.3
2015-06-20 03:00:00+00:00,21.28
2015-06-20 04:00:00+00:00,20.134999999999998
2015-06-20 05:00:00+00:00,19.22
2015-06-20 06:00:00+00:00,18.2625
2015-06-20 07:00:00+00:00,17.6625
2015-06-20 08:00:00+00:00,17.3675
2015-06-20 09:00:00+00:00,16.9025
2015-06-20 10:00:00+00:00,17.18
2015-06-20 11:00:00+00:00,17.36
2015-06-20 12:00:00+00:00,17.8575
2015-06-20 13:00:00+00:00,17.805
2015-06-20 14:00:00+00:00,17.9075
2015-06-20 15:00:00+00:00,18.285
2015-06-20 16:00:00+00:00,18.95
2015-06-20 17:00:00+00:00,19.525
2015-06-20 18:00:00+00:00,19.32
2015-06-20 19:00:00+00:00,19.825
2015-06-20 20:00:00+00:00,19.9
2015-06-20 21:00:00+00:00,19.6375
2015-06-20 22:00:00+00:00,19.495
2015-06-20 23:00:00+00:00,19.205
2015-06-21 00:00:00+00:00,18.8975
2015-06-21 01:00:00+00:00,18.9325
2015-06-21 02:00:00+00:00,18.735
2015-06-21 03:00:00+00:00,18.2975
2015-06-21 04:00:00+00:00,18.6125
2015-06-21 05:00:00+00:00,18.497500000000002
2015-06-21 06:00:00+00:00,17.3925
2015-06-21 07:00:00+00:00,16.485
2015-06-21 08:00:00+00:00,16.6325
2015-06-21 09:00:00+00:00,17.1875
2015-06-21 10:00:00+00:00,17.67
2015-06-21 11:00:00+00:00,17.845
2015-06-21 12:00:00+00:00,18.17
2015-06-21 13:00:00+00:00,17.98
2015-06-21 14:00:00+00:00,18.0325
2015-06-21 15:00:00+00:00,18.11
2015-06-21 16:00:00+00:00,18.7175
2015-06-21 17:00:00+00:00,19.375
2015-06-21 18:00:00+00:00,20.2175
2015-06-21 19:00:00+00:00,21.215
2015-06-21 20:00:00+00:00,21.025
2015-06-21 21:00:00+00:00,20.4625
2015-06-21 22:00:00+00:00,19.78
2015-06-21 23:00:00+00:00,19.0475
2015-06-22 00:00:00+00:00,18.595
2015-06-22 01:00:00+00:00,18.5575
2015-06-22 02:00:00+00:00,18.2075
2015-06-22 03:00:00+00:00,18.3425
2015-06-22 04:00:00+00:00,18.615000000000002
2015-06-22 05:00:00+00:00,17.21
2015-06-22 06:00:00+00:00,13.105
2015-06-22 07:00:00+00:00,14.045
2015-06-22 08:00:00+00:00,15.4375
2015-06-22 09:00:00+00:00,16.03
2015-06-22 10:00:00+00:00,17.5575
2015-06-22 11:00:00+00:00,18.225
2015-06-22 12:00:00+00:00,18.2125
2015-06-22 13:00:00+00:00,17.8525
2015-06-22 14:00:00+00:00,17.755000000000003
2015-06-22 15:00:00+00:00,18.235
2015-06-22 16:00:00+00:00,19.2475
2015-06-22 17:00:00+00:00,20.1575
2015-06-22 18:00:00+00:00,22.7125
2015-06-22 19:00:00+00:00,24.0
2015-06-22 20:00:00+00:00,24.4075
2015-06-22 21:00:00+00:00,23.8625
2015-06-22 22:00:00+00:00,23.605
2015-06-22 23:00:00+00:00,22.33
2015-06-23 00:00:00+00:00,20.927500000000002
2015-06-23 01:00:00+00:00,21.98
2015-06-23 02:00:00+00:00,21.6425
2015-06-23 03:00:00+00:00,20.1825
2015-06-23 04:00:00+00:00,19.4775
2015-06-23 05:00:00+00:00,18.9175
2015-06-23 06:00:00+00:00,17.9975
2015-06-23 07:00:00+00:00,17.5325
2015-06-23 08:00:00+00:00,17.365000000000002
2015-06-23 09:00:00+00:00,17.7825
2015-06-23 10:00:00+00:00,18.7725
2015-06-23 11:00:00+00:00,19.0
2015-06-23 12:00:00+00:00,18.7225
2015-06-23 13:00:00+00:00,19.6375
2015-06-23 14:00:00+00:00,19.495
2015-06-23 15:00:00+00:00,21.015
2015-06-23 16:00:00+00:00,24.1275
2015-06-23 17:00:00+00:00,25.9925
2015-06-23 18:00:00+00:00,28.310000000000002
2015-06-23 19:00:00+00:00,27.740000000000002
2015-06-23 20:00:00+00:00,28.7925
2015-06-23 21:00:00+00:00,27.8475
2015-06-23 22:00:00+00:00,26.43
2015-06-23 23:00:00+00:00,24.025
2015-06-24 00:00:00+00:00,24.16
2015-06-24 01:00:00+00:00,24.4125
2015-06-24 02:00:00+00:00,23.88
2015-06-24 03:00:00+00:00,22.025
2015-06-24 04:00:00+00:00,20.4775
2015-06-24 05:00:00+00:00,18.815
2015-06-24 06:00:00+00:00,17.7475
2015-06-24 07:00:00+00:00,17.185
2015-06-24 08:00:00+00:00,17.1475
2015-06-24 09:00:00+00:00,17.5975
2015-06-24 10:00:00+00:00,18.3875
2015-06-24 11:00:00+00:00,18.165
2015-06-24 12:00:00+00:00,19.0075
2015-06-24 13:00:00+00:00,20.1375
2015-06-24 14:00:00+00:00,21.2875
2015-06-24 15:00:00+00:00,25.11
2015-06-24 16:00:00+00:00,26.87
2015-06-24 17:00:00+00:00,29.869999999999997
2015-06-24 18:00:00+00:00,34.375
2015-06-24 19:00:00+00:00,31.7175
2015-06-24 20:00:00+00:00,36.7825
2015-06-24 21:00:00+00:00,32.5625
2015-06-24 22:00:00+00:00,33.6225
2015-06-24 23:00:00+00:00,27.4825
2015-06-25 00:00:00+00:00,26.552500000000002
2015-06-25 01:00:00+00:00,25.6375
2015-06-25 02:00:00+00:00,25.1
2015-06-25 03:00:00+00:00,24.5625
2015-06-25 04:00:00+00:00,22.495
2015-06-25 05:00:00+00:00,19.697499999999998
2015-06-25 06:00:00+00:00,18.5125
2015-06-25 07:00:00+00:00,17.92
2015-06-25 08:00:00+00:00,17.5725
2015-06-25 09:00:00+00:00,17.5225
2015-06-25 10:00:00+00:00,18.1
2015-06-25 11:00:00+00:00,18.3325
2015-06-25 12:00:00+00:00,18.605
2015-06-25 13:00:00+00:00,20.1625
2015-06-25 14:00:00+00:00,20.625
2015-06-25 15:00:00+00:00,23.175
2015-06-25 16:00:00+00:00,27.0925
2015-06-25 17:00:00+00:00,30.345
2015-06-25 18:00:00+00:00,34.3025
2015-06-25 19:00:00+00:00,38.435
2015-06-25 20:00:00+00:00,77.0775
2015-06-25 21:00:00+00:00,71.1325
2015-06-25 22:00:00+00:00,43.09
2015-06-25 23:00:00+00:00,31.5425
2015-06-26 00:00:00+00:00,29.3075
2015-06-26 01:00:00+00:00,26.3
2015-06-26 02:00:00+00:00,24.375
2015-06-26 03:00:00+00:00,22.6125
2015-06-26 04:00:00+00:00,23.035
2015-06-26 05:00:00+00:00,20.625
2015-06-26 06:00:00+00:00,19.0225
2015-06-26 07:00:00+00:00,18.0275
2015-06-26 08:00:00+00:00,17.855
2015-06-26 09:00:00+00:00,18.0475
2015-06-26 10:00:00+00:00,18.7875
2015-06-26 11:00:00+00:00,18.5175
2015-06-26 12:00:00+00:00,19.7025
2015-06-26 13:00:00+00:00,22.22
2015-06-26 14:00:00+00:00,25.5725
2015-06-26 15:00:00+00:00,29.4725
2015-06-26 16:00:00+00:00,28.37
2015-06-26 17:00:00+00:00,30.21
2015-06-26 18:00:00+00:00,33.04
2015-06-26 19:00:00+00:00,32.7075
2015-06-26 20:00:00+00:00,33.2075
2015-06-26 21:00:00+00:00,32.5175
2015-06-26 22:00:00+00:00,30.9125
2015-06-26 23:00:00+00:00,26.1875
2015-06-27 00:00:00+00:00,25.0225
2015-06-27 01:00:00+00:00,24.38
2015-06-27 02:00:00+00:00,24.185
2015-06-27 03:00:00+00:00,23.11
2015-06-27 04:00:00+00:00,22.4525
2015-06-27 05:00:00+00:00,21.182499999999997
2015-06-27 06:00:00+00:00,19.9875
2015-06-27 07:00:00+00:00,18.98
