Qsell,E,CVaR,rho
5.43,1.2381285518624177e6,-2.877925036872564e6,-2.836764500985214e6
5.44,1.2427961410721776e6,-2.8669558104989636e6,-2.825858290983252e6
5.45,1.247463730281938e6,-2.8559865841253647e6,-2.814952080981292e6
5.46,1.2521313194916975e6,-2.845017357751765e6,-2.80404587097933e6
5.47,1.2567989087014582e6,-2.8340481313781636e6,-2.7931396609773673e6
5.48,1.261466497911218e6,-2.8230789050045637e6,-2.7822334509754055e6
5.49,1.2661340871209784e6,-2.8121096786309644e6,-2.771327240973445e6
5.5,1.270801676330738e6,-2.8011404522573636e6,-2.7604210309714824e6
5.51,1.2754692655404978e6,-2.7901721885116594e6,-2.7495157739711376e6
5.52,1.280136854750258e6,-2.7792041014252584e6,-2.7386106918635033e6
5.53,1.2848044439600182e6,-2.768236014338859e6,-2.72770560975587e6
5.54,1.2894720331697788e6,-2.757267927252459e6,-2.7168005276482366e6
5.55,1.2941396223795381e6,-2.746311325784414e6,-2.7059068163027745e6
5.56,1.2988072115892984e6,-2.7353577551628174e6,-2.6950161054952964e6
5.57,1.3034748007990583e6,-2.7244041845412143e6,-2.684125394687812e6
5.58,1.3081423900088184e6,-2.713450613919616e6,-2.673234683880332e6
5.59,1.3128099792185787e6,-2.7025283367272248e6,-2.6623749535677666e6
5.6,1.3174775684283385e6,-2.6918017008992247e6,-2.651708908205949e6
5.61,1.3221451576380988e6,-2.681075065071223e6,-2.6410428628441296e6
5.62,1.326812746847859e6,-2.6703495507106697e6,-2.6303779277350847e6
5.63,1.3314803360576176e6,-2.659630761449873e6,-2.619719650474798e6
5.64,1.3361479252673774e6,-2.648911972189075e6,-2.6090613732145103e6
5.65,1.3408155144771375e6,-2.638193182928274e6,-2.59840309595422e6
5.66,1.3454831036868978e6,-2.6274743936674735e6,-2.58774481869393e6
5.67,1.3501506928966576e6,-2.616805796286083e6,-2.5771362313942555e6
5.68,1.3548182821064177e6,-2.606138352152483e6,-2.566528785809894e6
5.69,1.3594858713161778e6,-2.5954709080188805e6,-2.55592134022553e6
5.7,1.364153460525938e6,-2.584803463885281e6,-2.5453138946411684e6
5.71,1.3688210497356977e6,-2.5741360197516796e6,-2.534706449056806e6
5.72,1.373488638945458e6,-2.5634685756180817e6,-2.5240990034724465e6
5.73,1.378156228155218e6,-2.5528077712509125e6,-2.513498131256851e6
5.74,1.3828238173649784e6,-2.542148858325313e6,-2.50289913156841e6
5.75,1.3874914065747382e6,-2.5314899453997146e6,-2.49230013187997e6
5.76,1.3921589957844983e6,-2.520831032474113e6,-2.481701132191527e6
5.77,1.3968265849942581e6,-2.510172119548514e6,-2.4711021325030862e6
5.78,1.4014941742040182e6,-2.4995136431380566e6,-2.4605035649646358e6
5.79,1.4061617634137787e6,-2.48885565481246e6,-2.4499054806301976e6
5.8,1.410829352623538e6,-2.47819766648686e6,-2.4393073962957556e6
5.81,1.4154969418332982e6,-2.4675396781612593e6,-2.4287093119613137e6
5.82,1.4201645310430585e6,-2.4568816898356588e6,-2.4181112276268713e6
5.83,1.4248321202528186e6,-2.446223701510056e6,-2.407513143292427e6
5.84,1.4294997094625784e6,-2.435568468971135e6,-2.396917787186798e6
5.85,1.4341672986723385e6,-2.4249352694607335e6,-2.3863442437794027e6
5.86,1.4388348878820988e6,-2.4143020699503343e6,-2.37577070037201e6
5.87,1.4435024770918584e6,-2.403668870439935e6,-2.365197156964617e6
5.88,1.4481700663016178e6,-2.393035670929535e6,-2.354623613557223e6
5.89,1.4528376555113774e6,-2.3824024714191356e6,-2.3440500701498305e6
5.9,1.457505244721138e6,-2.3717692719087345e6,-2.3334765267424355e6
5.91,1.462172833930898e6,-2.3611360723983343e6,-2.322902983335042e6
5.92,1.4668404231406578e6,-2.350502872887935e6,-2.3123294399276488e6
5.93,1.471508012350418e6,-2.3398696733775362e6,-2.3017558965202565e6
5.94,1.4761756015601777e6,-2.329236473867134e6,-2.291182353112861e6
5.95,1.480843190769938e6,-2.3186032743567354e6,-2.2806088097054684e6
5.96,1.485510779979698e6,-2.307970074846336e6,-2.270035266298076e6
5.97,1.4901783691894582e6,-2.2973388501798753e6,-2.259463677986182e6
5.98,1.494845958399218e6,-2.2867094075406753e6,-2.248893853881276e6
